iter	R2	RMSE
0	0.06430726306	801497.9775
1	0.1241836866	775429.4959
2	0.1802431367	750202.1981
3	0.2318006902	726227.6131
4	0.2809333956	702619.7629
5	0.3254340681	680531.1415
6	0.366063619	659718.4649
7	0.4047545327	639269.3023
8	0.4408693963	619572.9284
9	0.4753186433	600182.9005
10	0.5055864399	582614.0966
11	0.5348448663	565112.2359
12	0.5630160498	547732.5428
13	0.5879164853	531898.0793
14	0.6108356704	516894.9805
15	0.6321819845	502518.7838
16	0.6528295212	488210.5901
17	0.6726881322	474041.8429
18	0.6919249353	459900.7055
19	0.7096086723	446506.3327
20	0.7255259749	434096.6428
21	0.740178364	422350.9332
22	0.7544270516	410606.7305
23	0.7672401171	399751.2833
24	0.779508358	389073.6932
25	0.7905439963	379212.119
26	0.8014670597	369191.8361
27	0.8115206917	359722.5317
28	0.8208833315	350674.1904
29	0.8289254775	342711.3359
30	0.8365801222	334956.3707
31	0.8439610764	327304.7247
32	0.8509942768	319843.3139
33	0.857587514	312687.007
34	0.8635956829	306020.0343
35	0.8692293062	299633.9473
36	0.8749146961	293048.124
37	0.8797666755	287308.3377
38	0.8843893293	281731.0811
39	0.8894176692	275536.2042
40	0.8937614848	270070.2819
41	0.897807585	264877.5391
42	0.9018037372	259646.9834
43	0.9055479234	254648.7549
44	0.9089557475	250012.6992
45	0.9121710571	245558.3064
46	0.9153868022	241020.9844
47	0.9181951257	236987.4742
48	0.9209343002	232986.0192
49	0.9237669495	228774.4137
50	0.9261586412	225157.0974
51	0.9284815818	221587.2418
52	0.9305798582	218312.4733
53	0.9326294712	215065.5157
54	0.9347388767	211671.8346
55	0.9368488673	208221.8851
56	0.9386058275	205304.9293
57	0.94021622	202594.4235
58	0.9418041945	199885.6623
59	0.9433278547	197251.6424
60	0.9448347369	194611.5666
61	0.9463166153	191979.8936
62	0.9476755279	189534.4806
63	0.9488467715	187401.1821
64	0.9501294143	185036.7688
65	0.9512455518	182954.4276
66	0.9524007334	180773.9852
67	0.9534100016	178847.2017
68	0.9543277707	177076.8985
69	0.9552646889	175251.213
70	0.9561565623	173495.4547
71	0.9569885148	171841.4867
72	0.9577743362	170264.4753
73	0.9585790021	168634.3645
74	0.9593311467	167096.2738
75	0.9600307313	165652.8465
76	0.960713044	164232.8357
77	0.9613055939	162989.6
78	0.9619594812	161606.5717
79	0.9626022287	160235.4715
80	0.9632044493	158940.0903
81	0.9637410194	157776.9646
82	0.9643169353	156518.9317
83	0.9647976189	155461.1306
84	0.9652755543	154402.1922
85	0.9657578381	153326.2062
86	0.9661967666	152340.3411
87	0.9665721717	151492.0641
88	0.9669749158	150576.6978
89	0.9673061181	149819.7424
90	0.9677509757	148796.9713
91	0.9678895414	148476.9561
92	0.9682301042	147687.4857
93	0.9683908302	147313.4316
94	0.9687074579	146573.7584
95	0.9688161123	146319.0695
96	0.9691168219	145611.8751
97	0.9693496399	145061.9771
98	0.9696479664	144354.2911
99	0.9698999974	143753.712
100	0.9700167105	143474.7381
101	0.9702629882	142884.2845
102	0.9704198408	142506.9533
103	0.9706108578	142046.0811
104	0.9708915351	141366.1574
105	0.9710461759	140990.1484
106	0.9711769218	140671.4557
107	0.9713249169	140309.8448
108	0.9715567923	139741.3993
109	0.9717419587	139285.7956
110	0.9717872384	139174.1576
111	0.9718597774	138995.1241
112	0.9721016997	138396.3619
113	0.9722362686	138062.1776
114	0.9724821435	137449.4804
115	0.9726141465	137119.4118
116	0.9728119406	136623.3425
117	0.972982525	136194.0645
118	0.97302048	136098.366
119	0.9732351533	135555.8242
120	0.9733154981	135352.2102
121	0.9734473044	135017.5148
122	0.9736297825	134552.7745
123	0.9738409717	134012.9
124	0.9739150398	133823.0399
125	0.9741215901	133292.1568
126	0.9742558205	132946.0164
127	0.9743208785	132777.9265
128	0.9743524655	132696.2386
129	0.9745026168	132307.2391
130	0.9745333487	132227.4804
131	0.9746236134	131992.937
132	0.974741016	131687.2536
133	0.9748538059	131392.9106
134	0.9748936051	131288.891
135	0.9750451791	130891.9779
136	0.9752752268	130287.2628
137	0.975382979	130003.0524
138	0.9756784171	129220.59
139	0.9757121802	129130.8671
140	0.9758368522	128799.0194
141	0.9759413354	128520.2497
142	0.9760250668	128296.4101
143	0.9760781838	128154.2095
144	0.97611951	128043.4652
145	0.9761503648	127960.719
146	0.9762533699	127684.0927
147	0.9763512486	127420.6774
148	0.9765169457	126973.5004
149	0.9766658149	126570.3907
150	0.9767524203	126335.2878
151	0.9767716733	126282.9634
152	0.9769171015	125887.0258
153	0.9770535786	125514.3218
154	0.9770850043	125428.3449
155	0.9771454292	125262.8639
156	0.9772742013	124909.4741
157	0.9773884626	124595.0668
158	0.9775316923	124199.8248
159	0.9777072823	123713.5617
160	0.9777236435	123668.155
161	0.977844801	123331.3909
162	0.9779709426	122979.7934
163	0.9780671617	122710.9223
164	0.978197886	122344.6842
165	0.9783452192	121930.5962
166	0.9784284682	121695.9973
167	0.9785133318	121456.382
168	0.9786326104	121118.7935
169	0.9787505459	120784.0785
170	0.9788367393	120538.8634
171	0.9788545348	120488.1743
172	0.9789997834	120073.6433
173	0.9790625562	119894.0501
174	0.9791668537	119595.0578
175	0.9792372091	119392.9456
176	0.9792494607	119357.715
177	0.9793286025	119129.8844
178	0.979368494	119014.881
179	0.9794282351	118842.445
180	0.9795483106	118495.1011
181	0.9796102774	118315.4501
182	0.9797112743	118022.0589
183	0.9797760278	117833.5689
184	0.9798743971	117546.6487
185	0.9799535574	117315.2469
186	0.9800683178	116978.966
187	0.9800776556	116951.5611
188	0.9802023215	116585.0692
189	0.9803128708	116259.1108
190	0.9804278943	115918.9871
191	0.9805545024	115543.4504
192	0.9806286289	115323.0133
193	0.9806812696	115166.2147
194	0.9807620599	114925.1516
195	0.9807891014	114844.3519
196	0.9807976639	114818.7555
197	0.9808710039	114599.2806
198	0.9809577029	114339.2845
199	0.9811187344	113854.802
200	0.9811991501	113612.0884
201	0.9813158974	113258.7917
202	0.9813908364	113031.4316
203	0.9814937703	112718.3896
204	0.9815747377	112471.54
205	0.9816188052	112336.9607
206	0.9816863141	112130.4804
207	0.9817488834	111938.7677
208	0.9818511199	111624.806
209	0.981928836	111385.5529
210	0.9819892661	111199.1601
211	0.9820697522	110950.4193
212	0.9821017574	110851.3528
213	0.9822062948	110527.1564
214	0.9822802428	110297.2501
215	0.9823323203	110135.0516
216	0.9824065444	109903.4629
217	0.9824654538	109719.3098
218	0.9825043836	109597.4439
219	0.9825437496	109474.0747
220	0.9825728437	109382.8072
221	0.9826408353	109169.2215
222	0.9826968412	108992.9728
223	0.982800408	108666.2984
224	0.9829217229	108282.3893
225	0.9829639952	108148.2953
226	0.9830014323	108029.4007
227	0.9830567696	107853.4173
228	0.9830945416	107733.1298
229	0.9831737473	107480.457
230	0.9832437839	107256.5388
231	0.9833125995	107036.0678
232	0.9833473327	106924.6173
233	0.9833966199	106766.2668
234	0.9834695748	106531.4441
235	0.9835010148	106430.0873
236	0.9835144743	106386.6667
237	0.9835710438	106203.9788
238	0.9835919545	106136.3693
239	0.9836492757	105950.8144
240	0.9837113878	105749.3832
241	0.9837630384	105581.5864
242	0.9838054693	105443.5417
243	0.983864184	105252.2207
244	0.9839063534	105114.5976
245	0.9839368935	105014.8149
246	0.9840222125	104735.5511
247	0.9840535598	104632.7588
248	0.9841120215	104440.7841
249	0.9841586507	104287.4113
250	0.9841876119	104192.0383
251	0.9842219476	104078.8533
252	0.984254404	103971.75
253	0.9843273962	103730.478
254	0.9843909179	103520.0526
255	0.9844238775	103410.7
256	0.9844986163	103162.3045
257	0.9845506162	102989.1284
258	0.9845916176	102852.3754
259	0.9846345755	102708.9011
260	0.9847173165	102431.9902
261	0.9847625497	102280.2904
262	0.9848222096	102079.8627
263	0.9848872604	101860.8747
264	0.9849531402	101638.6149
265	0.984995668	101494.8799
266	0.9850661226	101256.3091
267	0.9851114518	101102.5191
268	0.9851502334	100970.7579
269	0.9851781882	100875.674
270	0.9852084688	100772.5779
271	0.9852518607	100624.6581
272	0.9853153671	100407.7763
273	0.9853475392	100297.7256
274	0.9853705129	100219.0663
275	0.9853765793	100198.285
276	0.9854207164	100046.9592
277	0.9854665592	99889.54269
278	0.9855027386	99765.13303
279	0.985526529	99683.24105
280	0.9855458573	99616.65859
281	0.9855595296	99569.53345
282	0.9856044246	99414.6334
283	0.9856100726	99395.12945
284	0.9856641835	99208.07389
285	0.9857110785	99045.67736
286	0.9857554783	98891.67599
287	0.9857779365	98813.68786
288	0.9858186996	98671.97715
289	0.9858251398	98649.56945
290	0.9858690166	98496.77127
291	0.9859214903	98313.72328
292	0.9859559187	98193.43869
293	0.9859892049	98077.00441
294	0.9860226576	97959.84811
295	0.9860650678	97811.11978
296	0.9861149905	97635.75562
297	0.9861493468	97514.88882
298	0.9861799798	97406.99377
299	0.9862123683	97292.78591
300	0.9862437071	97182.15129
301	0.9862772217	97063.69622
302	0.9863202981	96911.233
303	0.9863601708	96769.89446
304	0.9863900027	96664.01307
305	0.9864421816	96478.53663
306	0.9864662537	96392.84896
307	0.9864945099	96292.17055
308	0.9865332864	96153.83569
309	0.9865868736	95962.3357
310	0.9866214138	95838.69971
311	0.9866589172	95704.27572
312	0.9867160696	95499.06028
313	0.9867622856	95332.7903
314	0.9868177261	95132.95076
315	0.9868476137	95025.04417
316	0.9868767082	94919.88289
317	0.9869424424	94681.85903
318	0.986983756	94531.95566
319	0.9870304236	94362.33902
320	0.987062153	94246.84191
321	0.987106932	94083.60253
322	0.9871408825	93959.64862
323	0.987190798	93777.10866
324	0.9872375206	93605.9227
325	0.9872757405	93465.65652
326	0.9873038666	93362.29972
327	0.9873457548	93208.15785
328	0.9873753572	93099.07183
329	0.9874182145	92940.91421
330	0.9874600695	92786.19514
331	0.9875012949	92633.55098
332	0.9875375479	92499.10987
333	0.9875934348	92291.47423
334	0.987627344	92165.26392
335	0.9876545208	92063.98671
336	0.987687053	91942.60557
337	0.9877059708	91871.94726
338	0.987760013	91669.79917
339	0.9878087668	91487.04922
340	0.9878318559	91400.37406
341	0.9878727826	91246.53552
342	0.9879192196	91071.66909
343	0.9879567192	90930.21272
344	0.9879907331	90801.71493
345	0.9880330052	90641.76493
346	0.9880661841	90516.02385
347	0.9881037457	90373.46248
348	0.9881261063	90288.48802
349	0.9881700983	90121.07634
350	0.9881905072	90043.30432
351	0.9882271512	89903.49699
352	0.9882641186	89762.23512
353	0.9882844446	89684.46923
354	0.9883226123	89538.26006
355	0.988359561	89396.49288
356	0.9884102011	89201.82752
357	0.9884297213	89126.67641
358	0.9884703156	88970.18875
359	0.9885095132	88818.82343
360	0.9885397786	88701.77385
361	0.9885584308	88629.56096
362	0.9885883693	88513.52876
363	0.988617818	88399.24687
364	0.9886491533	88277.48088
365	0.9886769963	88169.14424
366	0.9887121461	88032.18719
367	0.9887281365	87969.81154
368	0.9887589705	87849.40928
369	0.9887783053	87773.82531
370	0.9887974172	87699.04875
371	0.9888339063	87556.10554
372	0.9888556894	87470.66037
373	0.9888828541	87363.98858
374	0.9889180507	87225.58286
375	0.9889285006	87184.44796
376	0.9889635086	87046.50055
377	0.9889907506	86939.00312
378	0.9890238121	86808.36316
379	0.9890582241	86672.17772
380	0.9890897687	86547.15186
381	0.9891271876	86398.60858
382	0.9891576981	86277.30076
383	0.989182684	86177.83107
384	0.9892086289	86074.42207
385	0.9892371115	85960.75531
386	0.9892593917	85871.73563
387	0.9892947948	85730.09408
388	0.9893089788	85673.28044
389	0.9893373774	85559.41784
390	0.9893643601	85451.09157
391	0.9893833636	85374.71641
392	0.9894183206	85234.04539
393	0.9894413723	85141.1556
394	0.9894736191	85011.04248
395	0.989500317	84903.16789
396	0.9895135524	84849.63861
397	0.9895314002	84777.40135
398	0.9895639778	84645.3878
399	0.9895986062	84504.83747
400	0.9896132332	84445.39911
401	0.9896437253	84321.35626
402	0.9896661372	84230.06713
403	0.9896845201	84155.11541
404	0.9896990709	84095.74061
405	0.9897308623	83965.86954
406	0.9897561904	83862.25785
407	0.9897833685	83750.9355
408	0.989805233	83661.27007
409	0.9898208967	83596.9748
410	0.9898370629	83530.5652
411	0.9898505385	83475.16819
412	0.9898742457	83377.61988
413	0.9899027658	83260.11696
414	0.9899306168	83145.21035
415	0.9899477232	83074.55462
416	0.9899694636	82984.67179
417	0.989993917	82883.45613
418	0.9900078557	82825.70669
419	0.9900255491	82752.3431
420	0.9900441598	82675.10598
421	0.9900658798	82584.8732
422	0.9900836763	82510.86682
423	0.9901077685	82410.57348
424	0.9901309992	82313.75108
425	0.9901511314	82229.75079
426	0.9901656636	82169.06262
427	0.9901815453	82102.68726
428	0.9902024755	82015.13053
429	0.9902155488	81960.39396
430	0.9902280185	81908.15046
431	0.9902393402	81860.68792
432	0.9902632383	81760.41233
433	0.9902736457	81716.70445
434	0.9902887936	81653.04649
435	0.9903123601	81553.91159
436	0.9903377213	81447.09199
437	0.9903550331	81374.09508
438	0.9903773894	81279.73086
439	0.9903874465	81237.24481
440	0.9904107899	81138.54579
441	0.9904225408	81088.81575
442	0.9904437195	80999.1097
443	0.9904694388	80890.03808
444	0.990486632	80817.04202
445	0.9905019944	80751.76298
446	0.9905105185	80715.51879
447	0.9905240002	80658.16232
448	0.9905373865	80601.17119
449	0.9905649496	80483.69618
450	0.9905835353	80404.38653
451	0.9905949493	80355.64128
452	0.9906085992	80297.30867
453	0.9906334587	80190.96266
454	0.9906548303	80099.42486
455	0.9906842143	79973.39759
456	0.990698162	79913.50652
457	0.990712756	79850.7923
458	0.9907372092	79745.59976
459	0.9907490663	79694.54303
460	0.9907612916	79641.86686
461	0.9907804926	79559.06319
462	0.9907925551	79506.99971
463	0.9908179987	79397.07017
464	0.9908279697	79353.94869
