iter	Passed	Remaining
0	35	70206
1	60	60645
2	81	53990
3	100	50210
4	120	48268
5	141	47174
6	162	46320
7	184	46013
8	204	45221
9	208	41561
10	229	41418
11	267	44285
12	289	44217
13	309	43839
14	329	43553
15	349	43283
16	369	43049
17	389	42837
18	408	42620
19	428	42451
20	448	42253
21	470	42295
22	499	42974
23	522	42993
24	534	42254
25	555	42139
26	576	42098
27	595	41964
28	615	41830
29	622	40879
30	642	40787
31	662	40715
32	691	41228
33	718	41558
34	739	41504
35	763	41676
36	789	41879
37	816	42149
38	840	42237
39	862	42259
40	886	42349
41	926	43198
42	970	44159
43	1008	44816
44	1048	45539
45	1081	45930
46	1108	46053
47	1140	46380
48	1182	47075
49	1211	47257
50	1238	47341
51	1263	47348
52	1289	47376
53	1310	47240
54	1331	47078
55	1369	47552
56	1412	48149
57	1452	48633
58	1489	49003
59	1521	49191
60	1555	49443
61	1592	49785
62	1626	50022
63	1663	50322
64	1694	50441
65	1732	50753
66	1756	50682
67	1781	50628
68	1814	50771
69	1846	50912
70	1898	51588
71	1945	52093
72	1980	52284
73	2008	52284
74	2047	52557
75	2077	52586
76	2106	52618
77	2120	52243
78	2144	52136
79	2167	52011
80	2204	52216
81	2241	52430
82	2281	52699
83	2325	53037
84	2365	53285
85	2403	53496
86	2425	53331
87	2446	53155
88	2466	52957
89	2493	52928
90	2537	53238
91	2558	53062
92	2600	53329
93	2606	52841
94	2646	53073
95	2685	53271
96	2725	53467
97	2752	53415
98	2772	53242
99	2779	52817
100	2800	52660
101	2825	52578
102	2866	52795
103	2901	52896
104	2944	53136
105	2982	53291
106	3020	53444
107	3051	53464
108	3079	53423
109	3100	53269
110	3102	52804
111	3109	52419
112	3130	52268
113	3155	52210
114	3189	52281
115	3222	52335
116	3243	52201
117	3263	52051
118	3265	51622
119	3285	51480
120	3305	51336
121	3325	51190
122	3345	51054
123	3377	51101
124	3402	51044
125	3423	50923
126	3431	50606
127	3434	50234
128	3438	49865
129	3457	49737
130	3459	49363
131	3479	49246
132	3499	49125
133	3519	49005
134	3521	48651
135	3542	48548
136	3561	48434
137	3590	48443
138	3619	48454
139	3622	48127
140	3646	48080
141	3673	48065
142	3701	48064
143	3726	48032
144	3730	47725
145	3743	47534
146	3771	47547
147	3803	47597
148	3841	47720
149	3867	47697
150	3894	47686
151	3896	47372
152	3920	47333
153	3943	47274
154	3948	46997
155	3976	47003
156	4023	47229
157	4072	47478
158	4116	47660
159	4157	47810
160	4160	47527
161	4194	47593
162	4229	47665
163	4265	47756
164	4293	47747
165	4333	47877
166	4367	47939
167	4402	48007
168	4440	48114
169	4473	48159
170	4508	48221
171	4530	48149
172	4552	48073
173	4582	48094
174	4626	48252
175	4666	48360
176	4671	48108
177	4707	48187
178	4744	48267
179	4778	48316
180	4806	48303
181	4827	48217
182	4847	48131
183	4877	48141
184	4918	48251
185	4950	48282
186	4986	48347
187	4989	48092
188	5028	48185
189	5063	48240
190	5107	48370
191	5136	48370
192	5158	48300
193	5196	48377
194	5236	48471
195	5270	48513
196	5276	48292
197	5313	48362
198	5342	48348
199	5384	48457
200	5411	48433
201	5432	48352
202	5452	48264
203	5472	48181
204	5492	48090
205	5523	48101
206	5567	48227
207	5599	48237
208	5634	48286
209	5666	48298
210	5697	48309
211	5731	48339
212	5765	48368
213	5786	48292
214	5806	48208
215	5830	48156
216	5863	48177
217	5903	48260
218	5938	48297
219	5981	48392
220	6020	48466
221	6052	48476
222	6076	48423
223	6099	48362
224	6127	48337
225	6167	48414
226	6208	48495
227	6242	48515
228	6272	48512
229	6313	48587
230	6352	48650
231	6387	48677
232	6424	48719
233	6444	48638
234	6468	48581
235	6493	48532
236	6498	48339
237	6524	48305
238	6561	48344
239	6607	48458
240	6638	48456
241	6673	48481
242	6708	48507
243	6742	48526
244	6767	48477
245	6793	48435
246	6819	48399
247	6849	48386
248	6869	48305
249	6889	48225
250	6893	48037
251	6913	47955
252	6933	47878
253	6953	47798
254	6974	47725
255	6995	47656
256	7038	47737
257	7073	47759
258	7110	47793
259	7144	47816
260	7185	47876
261	7219	47888
262	7255	47919
263	7295	47971
264	7336	48035
265	7368	48034
266	7397	48016
267	7418	47943
268	7438	47869
269	7445	47707
270	7476	47700
271	7506	47687
272	7527	47618
273	7547	47543
274	7567	47466
275	7570	47287
276	7591	47217
277	7616	47176
278	7640	47132
279	7667	47102
280	7672	46937
281	7689	46844
282	7719	46833
283	7721	46658
284	7749	46632
285	7774	46591
286	7811	46624
287	7847	46650
288	7880	46654
289	7886	46503
290	7927	46556
291	7969	46617
292	8005	46638
293	8039	46650
294	8075	46671
295	8096	46609
296	8116	46539
297	8141	46500
298	8170	46480
299	8193	46432
300	8214	46368
301	8250	46386
302	8285	46406
303	8323	46437
304	8369	46513
305	8408	46548
306	8445	46575
307	8474	46552
308	8504	46541
309	8527	46490
310	8547	46420
311	8567	46353
312	8603	46371
313	8624	46309
314	8650	46274
315	8677	46241
316	8717	46283
317	8754	46303
318	8791	46326
319	8822	46319
320	8865	46371
321	8901	46389
322	8925	46339
323	8945	46274
324	8965	46206
325	8987	46152
326	9024	46171
327	9068	46228
328	9101	46229
329	9140	46254
330	9176	46269
331	9211	46281
332	9250	46310
333	9276	46272
334	9299	46218
335	9333	46224
336	9372	46249
337	9406	46253
338	9436	46235
339	9472	46249
340	9504	46240
341	9541	46254
342	9562	46196
343	9583	46133
344	9603	46066
345	9626	46020
346	9658	46008
347	9694	46021
348	9729	46026
349	9775	46085
350	9817	46124
351	9848	46106
352	9881	46105
353	9911	46086
354	9944	46081
355	9970	46042
356	10005	46046
357	10039	46045
358	10079	46072
359	10106	46040
360	10150	46084
361	10181	46068
362	10202	46007
363	10225	45959
364	10258	45952
365	10294	45958
366	10331	45972
367	10367	45978
368	10395	45950
369	10433	45962
370	10468	45965
371	10498	45944
372	10525	45912
373	10555	45889
374	10595	45915
375	10643	45969
376	10675	45958
377	10717	45989
378	10757	46008
379	10779	45956
380	10806	45918
381	10860	46000
382	10901	46023
383	10941	46046
384	10975	46038
385	11013	46049
386	11056	46081
387	11092	46083
388	11126	46079
389	11165	46094
390	11193	46061
391	11213	45998
392	11248	45994
393	11287	46011
394	11328	46031
395	11361	46021
396	11393	46006
397	11415	45950
398	11453	45956
399	11489	45957
400	11514	45912
401	11534	45851
402	11554	45787
